"","date","ccg_id","name","items","cost","list_size","covid_period"
"111","2018-02-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","128836","896547.09","8925148","pre-covid year 3"
"112","2018-02-01","Y58","SOUTH WEST COMMISSIONING REGION","89117","625756.77","5759235","pre-covid year 3"
"113","2018-03-01","Y56","LONDON COMMISSIONING REGION","72642","695919.1","9841114","pre-covid year 3"
"114","2018-03-01","Y59","SOUTH EAST COMMISSIONING REGION","118106","993701.04","9230630","pre-covid year 3"
"115","2018-03-01","Y60","MIDLANDS COMMISSIONING REGION","154846","1160743.54","11008181","pre-covid year 3"
"116","2018-03-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","100285","806785.52","6809411","pre-covid year 3"
"117","2018-03-01","Y62","NORTH WEST COMMISSIONING REGION","111602","842300.51","7426252","pre-covid year 3"
"118","2018-03-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","137469","1005424.46","8927111","pre-covid year 3"
"119","2018-03-01","Y58","SOUTH WEST COMMISSIONING REGION","94230","667981.15","5761575","pre-covid year 3"
"120","2018-04-01","Y56","LONDON COMMISSIONING REGION","68003","642196.89","9851208","pre-covid year 3"
"121","2018-04-01","Y59","SOUTH EAST COMMISSIONING REGION","109810","907754.75","9234226","pre-covid year 3"
"122","2018-04-01","Y60","MIDLANDS COMMISSIONING REGION","143926","1069892.04","11010643","pre-covid year 3"
"123","2018-04-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","92182","716816.41","6814348","pre-covid year 3"
"124","2018-04-01","Y62","NORTH WEST COMMISSIONING REGION","102159","751886.36","7429879","pre-covid year 3"
"125","2018-04-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","129268","940615.34","8933966","pre-covid year 3"
"126","2018-04-01","Y58","SOUTH WEST COMMISSIONING REGION","88942","617094.15","5764573","pre-covid year 3"
"127","2018-05-01","Y56","LONDON COMMISSIONING REGION","69792","649338.81","9863204","pre-covid year 2"
"128","2018-05-01","Y59","SOUTH EAST COMMISSIONING REGION","111407","933827.48","9241466","pre-covid year 2"
"129","2018-05-01","Y60","MIDLANDS COMMISSIONING REGION","148921","1122840.91","11018365","pre-covid year 2"
"130","2018-05-01","Y61","EAST OF ENGLAND COMMISSIONING REGION","94314","751357.25","6820136","pre-covid year 2"
"131","2018-05-01","Y62","NORTH WEST COMMISSIONING REGION","104080","799689.57","7434615","pre-covid year 2"
"132","2018-05-01","Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","132664","958996.66","8937310","pre-covid year 2"
